Humidity,Max_temp,Wind_speed,city,date,latitude,longitude
83,80.6,2.24,andevoranto,1564246038,5.28,115.24
86,76.37,11.86,axim,1564246212,4.87,-2.24
57,84.0,13.87,uddevalla,1564246000,58.35,11.94
71,46.13,1.25,provideniya,1564246213,64.42,-173.23
85,77.45,6.44,san policarpo,1564246213,12.18,125.51
65,82.49,17.34,sur,1564246032,22.57,59.53
62,81.0,3.58,olden,1564246213,61.84,6.81
76,69.89,5.23,demyansk,1564246213,57.64,32.46
92,73.13,10.85,fuxin,1564246214,42.02,121.65
83,79.0,8.05,guaruja,1564246214,-23.99,-46.26
78,73.4,17.22,puerto ayora,1564246041,-0.74,-90.35
93,43.0,1.25,waipawa,1564246214,-39.94,176.59
93,43.0,1.25,tabarqah,1564246214,-39.94,176.59
97,47.39,28.99,severo-kurilsk,1564246214,50.68,156.12
97,47.39,28.99,tuggurt,1564246214,50.68,156.12
62,83.21,0.74,hithadhoo,1564246215,-0.6,73.08
91,57.29,6.85,charters towers,1564246215,-20.07,146.27
82,63.0,6.24,pacific grove,1564246215,36.62,-121.92
73,53.87,1.52,matara,1564246215,-3.48,29.48
83,82.0,11.18,qingdao,1564246216,36.09,120.35
97,44.69,24.0,ostrovnoy,1564246216,68.05,39.51
69,79.79,7.31,disa,1564246216,11.03,13.59
83,73.85,7.23,surin,1564246107,14.88,103.49
35,87.35,5.48,boca do acre,1564246216,-8.76,-67.39
60,78.01,10.29,bemidji,1564246217,47.48,-94.89
29,69.71,5.77,ovalle,1564246217,-30.6,-71.2
93,48.2,11.41,pangnirtung,1564246217,66.15,-65.72
54,87.01,8.05,morehead,1564246217,38.18,-83.43
54,87.01,8.05,cagayan de tawi-tawi,1564246217,38.18,-83.43
82,60.8,6.93,lima,1564246217,-12.06,-77.04
93,55.4,6.93,kenai,1564246139,60.55,-151.26
82,71.6,5.82,tromso,1564246218,69.65,18.96
93,41.0,11.41,clyde river,1564246218,70.47,-68.59
55,76.37,5.19,karema,1564246219,-6.82,30.44
95,57.65,0.76,pokhara,1564246219,28.21,83.99
94,75.2,5.82,kourou,1564246056,5.16,-52.64
56,75.0,4.7,sparks,1564246220,39.53,-119.75
41,91.4,9.17,velika kladusa,1564246220,45.19,15.81
41,91.4,9.17,ngukurr,1564246220,45.19,15.81
64,75.2,2.24,zlynka,1564246220,52.43,31.74
74,88.0,6.71,jiaxing,1564246221,30.76,120.75
74,88.0,6.71,wolmaranstad,1564246221,30.76,120.75
74,88.0,6.71,fort saint john,1564246221,30.76,120.75
74,88.0,6.71,sahrak,1564246221,30.76,120.75
95,64.85,10.87,nemuro,1564246221,43.32,145.57
93,46.4,6.71,aykhal,1564246221,65.95,111.51
86,71.15,11.14,mayumba,1564246127,-3.44,10.65
63,60.8,6.93,iquique,1564246051,-20.22,-70.14
37,84.99,6.93,mondovi,1564246222,44.57,-91.67
37,84.99,6.93,karakendzha,1564246222,44.57,-91.67
37,84.99,6.93,mocambique,1564246222,44.57,-91.67
84,80.87,1.45,pipri,1564246222,24.21,83.02
74,90.0,3.36,metairie,1564246222,29.99,-90.15
74,75.11,6.35,sao filipe,1564246222,14.9,-24.5
33,91.4,11.41,hovd,1564246223,63.83,10.7
48,68.0,4.5,san felipe,1564246223,-32.75,-70.73
48,68.0,4.5,banmo,1564246223,-32.75,-70.73
39,84.2,6.93,romitan,1564246223,39.93,64.38
62,86.0,4.7,mersin,1564246224,36.81,34.63
62,86.0,4.7,tunxi,1564246224,36.81,34.63
73,75.83,19.33,fort-shevchenko,1564246224,44.51,50.26
73,75.83,19.33,guajara-mirim,1564246224,44.51,50.26
67,59.0,5.82,la ligua,1564246224,-32.45,-71.23
47,50.99,5.66,lichtenburg,1564246224,-26.15,26.16
69,86.0,5.82,ajaccio,1564246225,41.93,8.74
77,58.01,1.66,verkh-usugli,1564246225,52.7,115.17
99,66.47,4.21,anshun,1564246225,26.25,105.93
100,53.6,8.95,petropavlovsk-kamchatskiy,1564246020,53.05,158.65
94,82.4,6.93,amethi,1564246225,26.76,81.16
74,86.0,4.47,liangxiang,1564246226,39.73,116.14
16,105.71,19.04,atar,1564246226,20.52,-13.05
21,93.2,4.7,sayat,1564246226,38.78,63.88
89,76.19,8.97,deori,1564246226,23.12,78.69
71,55.0,2.24,whitehorse,1564246227,60.72,-135.06
76,82.13,13.96,kavaratti,1564246115,10.57,72.64
76,82.13,13.96,tiruvottiyur,1564246115,10.57,72.64
76,82.13,13.96,hlotse,1564246115,10.57,72.64
71,46.49,5.08,altay,1564246227,47.83,88.13
83,78.8,8.05,natal,1564246227,-5.81,-35.21
47,78.8,12.75,dingolfing,1564246227,48.63,12.5
42,88.0,8.05,vardo,1564246228,39.62,-77.74
92,73.99,1.01,marawi,1564246228,8.0,124.29
90,58.73,3.24,inhambane,1564246228,-23.87,35.38
93,42.35,8.43,iskateley,1564246228,67.68,53.15
96,73.67,7.63,jinzhou,1564246229,41.11,121.12
41,60.8,9.17,salta,1564246229,-24.79,-65.41
52,91.4,3.36,itaituba,1564246229,-4.26,-55.99
66,86.0,9.17,saint-louis,1564246229,16.03,-16.5
48,82.4,6.93,sao joao da barra,1564246229,-21.64,-41.05
70,90.0,10.29,edgewater,1564246230,28.99,-80.9
31,46.4,8.37,alice springs,1564246230,-23.7,133.88
46,54.41,12.26,zhigansk,1564246230,66.77,123.37
61,78.8,4.7,nago,1564246230,45.88,10.89
62,87.8,5.82,pointe michel,1564246231,15.25,-61.38
64,68.0,4.47,aksu,1564246231,52.04,76.93
77,62.6,3.09,kununurra,1564246231,-15.77,128.74
83,78.53,17.74,yatou,1564246231,3.63,9.81
87,55.99,13.87,wellington,1564246173,-41.29,174.78
23,101.39,8.81,gao,1564245989,16.28,-0.04
35,90.0,13.87,havelock,1564245996,34.88,-76.9
35,90.0,13.87,korla,1564245996,34.88,-76.9
77,64.99,16.11,eyrarbakki,1564246232,63.86,-21.15
77,64.99,16.11,kadykchan,1564246232,63.86,-21.15
77,64.99,16.11,lokken verk,1564246232,63.86,-21.15
61,79.0,4.7,mantua,1564246232,45.16,10.79
69,78.8,4.7,versalles,1564246233,4.58,-76.2
87,44.6,8.05,ancud,1564246233,-41.87,-73.83
43,71.6,2.24,svetlogorsk,1564246233,53.14,59.15
43,71.6,2.24,gulshat,1564246233,53.14,59.15
55,54.23,3.94,at-bashi,1564246233,41.17,75.81
87,60.8,11.41,imbituba,1564246233,-28.24,-48.67
67,64.49,3.02,yerbogachen,1564246078,61.28,108.01
84,75.29,2.06,kalmunai,1564246128,7.42,81.82
33,57.65,7.02,la asuncion,1564246234,-26.05,-65.39
77,53.51,2.39,marau,1564246234,-28.45,-52.2
42,77.99,2.48,mimoso do sul,1564246234,-21.07,-41.37
94,59.09,1.48,xinqing,1564246235,48.28,129.53
94,59.09,1.48,yuzhno-yeniseyskiy,1564246235,48.28,129.53
87,57.2,2.24,talaya,1564246235,55.79,84.89
87,57.2,2.24,yalchiki,1564246235,55.79,84.89
38,89.6,16.11,antequera,1564246235,37.02,-4.56
45,53.51,6.46,serenje,1564246236,-13.23,30.22
15,64.13,5.84,nokaneng,1564246236,-19.66,22.19
49,74.93,6.82,chingirlau,1564246236,51.09,54.08
94,71.6,17.22,grand gaube,1564246236,-20.01,57.66
94,71.6,17.22,paradwip,1564246236,-20.01,57.66
68,50.09,8.63,haines junction,1564246237,60.75,-137.51
94,75.2,5.82,cayenne,1564246237,4.94,-52.33
36,75.2,16.11,santa maria,1564246237,-16.02,-48.01
36,75.2,16.11,mrirt,1564246237,-16.02,-48.01
88,66.11,4.83,ruteng,1564246238,-8.61,120.46
88,66.11,4.83,skagastrond,1564246238,-8.61,120.46
87,59.63,2.44,xai-xai,1564246238,-25.04,33.64
87,55.4,4.7,northam,1564246238,-31.65,116.67
87,55.4,4.7,karauzyak,1564246238,-31.65,116.67
93,55.4,9.35,noumea,1564246238,-22.28,166.46
92,69.35,1.28,banjar,1564246238,-7.37,108.54
27,53.33,15.12,rawson,1564246239,-43.3,-65.11
58,91.4,9.17,chara,1564246239,39.42,22.43
20,77.81,12.28,zhezkazgan,1564246239,47.8,67.71
92,44.51,9.53,hofn,1564246239,64.25,-15.21
85,65.57,4.9,zhangjiakou,1564246240,40.77,114.88
94,52.43,2.64,novobirilyussy,1564246240,56.95,90.69
93,64.99,23.04,grindavik,1564246240,63.84,-22.43
86,52.61,4.97,tura,1564246240,64.27,100.22
33,67.01,11.52,santiago del estero,1564246241,-27.8,-64.26
92,42.71,3.13,manali,1564246241,32.25,77.19
92,42.71,3.13,vaitupu,1564246241,32.25,77.19
81,46.4,8.95,talnakh,1564246241,69.49,88.39
80,74.75,1.92,ambilobe,1564246241,-13.19,49.05
77,60.8,5.82,ilo,1564246242,-17.65,-71.34
93,46.0,4.0,tuatapere,1564246242,-46.13,167.69
98,67.37,0.96,ouango,1564246242,4.31,22.55
15,82.49,7.25,dehloran,1564246242,32.69,47.27
66,83.03,8.23,banda aceh,1564246083,5.56,95.32
93,42.35,10.18,sisimiut,1564246242,66.94,-53.67
29,75.11,5.73,mayor pablo lagerenza,1564246243,-19.93,-60.77
21,95.0,11.41,constantine,1564246243,36.36,6.61
92,71.69,13.98,nagar karnul,1564246243,16.48,78.32
86,53.33,2.91,achinsk,1564246243,56.27,90.5
39,82.99,6.93,fallon,1564246244,46.84,-105.12
